session_date,dte,strike_label,symbol,status,strike,expiration,sim_outcome,bars_held,entry_qqq,exit_qqq,entry_opt,exit_opt,pnl_contract
2023-01-05,0,ATM,QQQ230105P00263000,no_bars,,,,,,,,,
2023-01-05,0,1OTM,QQQ230105P00262000,no_bars,,,,,,,,,
2023-01-05,0,1ITM,QQQ230105P00264000,no_bars,,,,,,,,,
2023-01-05,1,ATM,QQQ230106P00263000,no_bars,,,,,,,,,
2023-01-05,1,1OTM,QQQ230106P00262000,no_bars,,,,,,,,,
2023-01-05,1,1ITM,QQQ230106P00264000,no_bars,,,,,,,,,
2023-01-05,2,ATM,QQQ230109P00263000,no_bars,,,,,,,,,
2023-01-05,2,1OTM,QQQ230109P00262000,no_bars,,,,,,,,,
2023-01-05,2,1ITM,QQQ230109P00264000,no_bars,,,,,,,,,
2023-01-05,3,ATM,QQQ230110P00263000,no_bars,,,,,,,,,
2023-01-05,3,1OTM,QQQ230110P00262000,no_bars,,,,,,,,,
2023-01-05,3,1ITM,QQQ230110P00264000,no_bars,,,,,,,,,
2023-01-05,5,ATM,QQQ230112P00263000,no_bars,,,,,,,,,
2023-01-05,5,1OTM,QQQ230112P00262000,no_bars,,,,,,,,,
2023-01-05,5,1ITM,QQQ230112P00264000,no_bars,,,,,,,,,
2023-01-06,0,ATM,QQQ230106P00261000,no_bars,,,,,,,,,
2023-01-06,0,1OTM,QQQ230106P00260000,no_bars,,,,,,,,,
2023-01-06,0,1ITM,QQQ230106P00262000,no_bars,,,,,,,,,
2023-01-06,1,ATM,QQQ230109P00261000,no_bars,,,,,,,,,
2023-01-06,1,1OTM,QQQ230109P00260000,no_bars,,,,,,,,,
2023-01-06,1,1ITM,QQQ230109P00262000,no_bars,,,,,,,,,
2023-01-06,2,ATM,QQQ230110P00261000,no_bars,,,,,,,,,
2023-01-06,2,1OTM,QQQ230110P00260000,no_bars,,,,,,,,,
2023-01-06,2,1ITM,QQQ230110P00262000,no_bars,,,,,,,,,
2023-01-06,3,ATM,QQQ230111P00261000,no_bars,,,,,,,,,
2023-01-06,3,1OTM,QQQ230111P00260000,no_bars,,,,,,,,,
2023-01-06,3,1ITM,QQQ230111P00262000,no_bars,,,,,,,,,
2023-01-06,5,ATM,QQQ230113P00261000,no_bars,,,,,,,,,
2023-01-06,5,1OTM,QQQ230113P00260000,no_bars,,,,,,,,,
2023-01-06,5,1ITM,QQQ230113P00262000,no_bars,,,,,,,,,
2023-01-30,0,ATM,QQQ230130P00292000,no_bars,,,,,,,,,
2023-01-30,0,1OTM,QQQ230130P00291000,no_bars,,,,,,,,,
2023-01-30,0,1ITM,QQQ230130P00293000,no_bars,,,,,,,,,
2023-01-30,1,ATM,QQQ230131P00292000,no_bars,,,,,,,,,
2023-01-30,1,1OTM,QQQ230131P00291000,no_bars,,,,,,,,,
2023-01-30,1,1ITM,QQQ230131P00293000,no_bars,,,,,,,,,
2023-01-30,2,ATM,QQQ230201P00292000,no_bars,,,,,,,,,
2023-01-30,2,1OTM,QQQ230201P00291000,no_bars,,,,,,,,,
2023-01-30,2,1ITM,QQQ230201P00293000,no_bars,,,,,,,,,
2023-01-30,3,ATM,QQQ230202P00292000,no_bars,,,,,,,,,
2023-01-30,3,1OTM,QQQ230202P00291000,no_bars,,,,,,,,,
2023-01-30,3,1ITM,QQQ230202P00293000,no_bars,,,,,,,,,
2023-01-30,5,ATM,QQQ230206P00292000,no_bars,,,,,,,,,
2023-01-30,5,1OTM,QQQ230206P00291000,no_bars,,,,,,,,,
2023-01-30,5,1ITM,QQQ230206P00293000,no_bars,,,,,,,,,
