group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,43180.0,0.20456229735988884,0.23341384640957422,0.23952946903495456,0.2721398795738768,0.52555509118541,0.5355465093085104,0.2309170912459472,0.7284852916033432,0.7476317890387535,0.2008568781843446,0.8737760139627657,0.8977386778115499,0.4005094951366373,0.5545159796201945,0.020240852246410375,-0.01847614636405744
tier_1,4545.0,0.2132013201320132,0.24145695661946479,0.2379246347493824,0.26886688668866887,0.5304439199820177,0.5353816138458084,0.2286028602860286,0.7225119802202732,0.7351392672510675,0.19603960396039605,0.8555167678129902,0.8775984041357604,0.4,0.5595159515951595,0.019361936193619363,-0.019878987898789884
tier_2,4375.0,0.19474285714285713,0.23034571563088474,0.23881473634651726,0.2674285714285714,0.5108435028248582,0.5169336393596992,0.22674285714285713,0.7170535781544252,0.7148301082862532,0.19702857142857144,0.8677612994350278,0.8686063323917145,0.3954285714285714,0.5556571428571428,0.019885714285714284,-0.020285714285714285
tier_3,34260.0,0.2046701692936369,0.23273300314230114,0.23983400568606908,0.2731757151196731,0.5267744366302556,0.5379346910070324,0.23175715119673088,0.7307338979500222,0.7534651204548852,0.20198482194979567,0.8769717611850963,0.9041237827323055,0.4012259194395797,0.5537069468768243,0.020402802101576183,-0.01805896088733216
at,767.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,21288.0,0.2111987974445697,0.23791184876733043,0.24508987365731355,0.27874859075535513,0.530377996498367,0.5463366535749775,0.23797444569710635,0.7321065253395158,0.7648380684237921,0.20786358511837655,0.876004017413523,0.9177362087730092,0.41041901540774145,0.562194663660278,0.02010522360015032,-0.01742296129274709
from_below,21125.0,0.205301775147929,0.2288828256828255,0.2339282472949139,0.2753609467455621,0.5206967824967822,0.5246771581104912,0.23218934911242603,0.724837475570809,0.7302992039658703,0.2010887573964497,0.8715316554649888,0.877594351494351,0.40506508875739644,0.5669112426035503,0.02111242603550296,-0.020208284023668643
first_touch_tier_1,369.0,0.25203252032520324,0.29191416893733074,0.3003760217983622,0.23035230352303523,0.615549318801094,0.6611719346048995,0.2005420054200542,0.8712803814713915,0.8814051771117114,0.1842818428184282,1.0403858310626715,1.0252419618528574,0.3821138211382114,0.6124661246612466,0.0,-0.03848238482384825
first_touch_tier_2,346.0,0.2543352601156069,0.2922895348837199,0.302924709302329,0.23410404624277456,0.5944781976744169,0.6293139534883748,0.1936416184971098,0.8017656976744169,0.8601125000000016,0.15895953757225434,0.9545395348837198,1.0721973837209324,0.3930635838150289,0.5924855491329479,0.008670520231213872,-0.030202312138728333
first_touch_tier_3,2934.0,0.25391956373551466,0.2930545547945197,0.2850000684931507,0.25357873210633947,0.63411058219178,0.6193088356164379,0.20415814587593728,0.8642731849315054,0.8666254452054795,0.17450579413769599,1.0379973630136974,1.062321712328767,0.3943421949556919,0.5950920245398773,0.005794137695978187,-0.03047034764826177
