group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,121015.0,0.1399909102177416,0.17737017542374328,0.1804493946526236,0.2652150559847953,0.40546042890766554,0.40969533755524307,0.2660827170185514,0.5707620392163504,0.5782019658973531,0.24928314671734908,0.6948567959767682,0.7009544228457251,0.40718919142255094,0.5302813700780895,0.03855720365243978,-0.010413585092757102
tier_1,11974.0,0.14564890596291966,0.1813767278940623,0.1832989747970953,0.2605645565391682,0.4086735924818452,0.4216699359248184,0.2605645565391682,0.5699872618539078,0.5881473900042713,0.24194087188909302,0.6898823835967525,0.7098195984621947,0.40337397695005844,0.5312343410723234,0.04292634040420912,-0.011796392183063303
tier_2,12576.0,0.12746501272264632,0.171580337904016,0.17876038197845254,0.25906488549618323,0.39070556643813287,0.40202405321580154,0.26407442748091603,0.55439574763304,0.5660751224289917,0.24475190839694658,0.6774208455762328,0.6929142017629777,0.39782124681933845,0.5427798982188295,0.033635496183206104,-0.016348600508905863
tier_3,96465.0,0.1409215777743223,0.17762549783871628,0.18031493250634562,0.26659410148758617,0.4069809371581508,0.4092049428082881,0.26702949256206915,0.5729879870854,0.5785435963337826,0.2507852589021925,0.6977440031012034,0.7008985789691683,0.40888405121028354,0.5285336650598663,0.0386565075415954,-0.009468200901881515
at,2473.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,59732.0,0.14330677024040714,0.17952446506311664,0.1849192341956197,0.2715797227616688,0.40682025952633083,0.4193359807036121,0.27325386727382306,0.5702865698485534,0.5914428033550164,0.2567133194937387,0.6935120686467313,0.7173130754878724,0.4164936717337441,0.5409160918770508,0.038589031005156364,-0.010280921449139497
from_below,58810.0,0.1425097772487672,0.17518384026202238,0.17591306528377176,0.2699030777078728,0.4040803705156857,0.39991128776377033,0.26998809726237033,0.5712445812933934,0.5647641681308743,0.25221901037238564,0.6962215264154487,0.6843524317224198,0.414861418126169,0.5417786090800885,0.04014623363373576,-0.010986226832171406
first_touch_tier_1,511.0,0.22309197651663404,0.2586929133858271,0.26534350393700545,0.2622309197651663,0.5671584645669316,0.5899728346456655,0.24266144814090018,0.7950437007874033,0.7776913385826724,0.2191780821917808,0.9438531496062996,0.9158287401574767,0.4090019569471624,0.5772994129158513,0.007827788649706457,-0.021624266144814098
first_touch_tier_2,500.0,0.214,0.2625689378757525,0.27478096192384943,0.238,0.5733659318637285,0.569166332665333,0.226,0.778853106212425,0.7735352705410831,0.188,0.927988777555111,0.9543272545090191,0.396,0.59,0.012,-0.028700000000000003
first_touch_tier_3,4105.0,0.22825822168087698,0.265688421052631,0.25768886168910665,0.2591961023142509,0.5719149571603419,0.5639952753977971,0.22168087697929353,0.7852543941248455,0.7799200734394127,0.19707673568818515,0.9423760832313327,0.9547539290085683,0.4012180267965895,0.5788063337393423,0.01510353227771011,-0.02433617539585872
