group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,72701.0,0.161290766289322,0.19802691504669467,0.2022223795954069,0.27702507530845516,0.446911610191011,0.44873304601754943,0.25944622494876274,0.6225967934429931,0.6272520864486641,0.23364190313750843,0.750624389865418,0.7546602925824566,0.40391466417243227,0.5320697101828036,0.0390503569414451,-0.011843028293971197
tier_1,7290.0,0.15596707818930042,0.19545592077538992,0.20342277005197323,0.26598079561042526,0.4411792807978649,0.4573543334738017,0.24499314128943758,0.6183413962635202,0.6461265346256493,0.22098765432098766,0.7496408343868521,0.7804588846748138,0.3914951989026063,0.5384087791495199,0.04663923182441701,-0.01715363511659809
tier_2,29340.0,0.16131561008861622,0.19818577673637816,0.20162532349443954,0.2769597818677573,0.4474044379939849,0.4475275022732044,0.2613156100886162,0.6212269916765756,0.6239491676575508,0.235480572597137,0.7491708365391343,0.7494826572008118,0.40337423312883436,0.5352760736196319,0.03592365371506476,-0.01280674846625767
tier_3,36071.0,0.16234648332455434,0.1984181360702812,0.202464799704319,0.2793102492306839,0.4476711852841668,0.4479681517072757,0.26084666352471514,0.6245716686094448,0.626117024422142,0.23470377865875633,0.7520051317772158,0.753647843516334,0.406864239971168,0.5281805328380139,0.040059881899586924,-0.009985861218153081
at,1265.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,35801.0,0.1640456970475685,0.20063409449262262,0.2049389401959686,0.2830647188626016,0.4504591874084917,0.45449708300484337,0.2645456830814782,0.6269339368172088,0.6328244425047872,0.23862461942403843,0.7534738906408377,0.759186104854151,0.410295801793246,0.542359151978995,0.03938437473813581,-0.012501047456774956
from_below,35635.0,0.16424863196295778,0.19540897370653135,0.19949460559796414,0.2807913568121229,0.44334938931297746,0.442945216284987,0.2635330433562509,0.618241747243427,0.6216567288662705,0.23692998456573594,0.7477631269437385,0.7501157986994628,0.41184228988354143,0.5406201767924793,0.04010102427388803,-0.011602357233057383
first_touch_tier_1,586.0,0.2150170648464164,0.2301931623931627,0.23907794871794683,0.2832764505119454,0.5061282051282071,0.47987641025640954,0.24061433447098976,0.7356256410256434,0.6853167521367521,0.2098976109215017,0.8803507692307705,0.8631006837606842,0.41467576791808874,0.5614334470989761,0.02218430034129693,-0.01595563139931742
first_touch_tier_2,2326.0,0.2063628546861565,0.23500138408304647,0.24472928200691935,0.2730008598452279,0.5201721453287218,0.5168855536332165,0.2416165090283749,0.6993027681660923,0.7183223183390995,0.21324161650902837,0.8528810986159194,0.8763478806228373,0.4032674118658641,0.5739466895958727,0.016766981943250214,-0.02250644883920895
first_touch_tier_3,2937.0,0.21484508001361935,0.23569122386012997,0.2418442235173137,0.3026898195437521,0.5215704833733278,0.5082964689749754,0.27068437180796734,0.7242474802879667,0.6993091532396309,0.23016683690840994,0.8735827219746318,0.8669980802194045,0.4290091930541369,0.5495403472931563,0.014640789921688798,-0.008682328907048007
