group,n,hit_1_min,mfe_1_mean,mae_1_mean,hit_5_min,mfe_5_mean,mae_5_mean,hit_10_min,mfe_10_mean,mae_10_mean,hit_15_min,mfe_15_mean,mae_15_mean,fp_hit,fp_stop,fp_timeout,fp_expectancy_usd
ALL,225674.0,0.11510851936864681,0.16237334757421834,0.20527160049342538,0.2542517082162766,0.37002836997373867,0.41935846701409374,0.2705052420748513,0.5213964817805121,0.5729559094704987,0.26084085893811426,0.6342111777740423,0.6853925524503165,0.3985128991376942,0.5162446715173215,0.06051649724824304,-0.0095072981380221
tier_1,23060.0,0.11274934952298352,0.16056056654652276,0.2001838600987846,0.25138768430182135,0.36599386873136697,0.40983000436078754,0.26617519514310495,0.5142253153562053,0.564358300538423,0.2579358196010408,0.6281513599430428,0.6772554526765445,0.39470945359930615,0.5112315698178664,0.06860364267129228,-0.009395056374674766
tier_2,90229.0,0.11527336000620643,0.16292127458890654,0.20609008943486687,0.2537765020115484,0.37101226178165186,0.42128687568894374,0.27112125813208615,0.5220463174880962,0.5749623384888121,0.26081415066109565,0.633619351796084,0.686516593747514,0.3976216072437908,0.5181039355417881,0.05953739928404393,-0.010239501712309786
tier_3,112385.0,0.11546024825377052,0.16230513892030943,0.20565757636101578,0.255220892467856,0.37006565942676795,0.41976384323688243,0.27089914134448545,0.5223449422480481,0.5731078317795372,0.26145837967700314,0.6359285133638622,0.6861583772805223,0.4000088979846065,0.515780575699604,0.05964319081727989,-0.008942474529519065
at,4637.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0
from_above,110035.0,0.1170718407779343,0.16512829288595976,0.16557811924277555,0.26148952605989,0.3722443437448657,0.37296875434016696,0.27937474439950927,0.5224772185691596,0.5241982190985597,0.2695415095196983,0.6329020802862411,0.6370666276127713,0.40921524969327944,0.5260689780524379,0.06038078793111283,-0.008752669605125645
from_below,111002.0,0.11797084737211942,0.15964277745711836,0.24461388191177497,0.25769805949442354,0.36783200268690774,0.4653377329648254,0.27301309886308356,0.5203253071307089,0.6212822017351808,0.2631123763535792,0.6355086926340744,0.7332908993540562,0.40455126934649827,0.528071566278085,0.06317904181906632,-0.010652510765571797
first_touch_tier_1,912.0,0.19407894736842105,0.22351008771929956,0.23079703947368288,0.29276315789473684,0.47944221491228217,0.4656529605263148,0.26973684210526316,0.6873389254385992,0.643036842105263,0.24561403508771928,0.8217666666666679,0.7919712719298246,0.42872807017543857,0.5449561403508771,0.02631578947368421,-0.007620614035087722
first_touch_tier_2,3592.0,0.17984409799554565,0.22043702354260242,0.2356614069506723,0.263641425389755,0.4848606221973107,0.4912059136771293,0.25,0.6571779988789251,0.6707846132286994,0.2255011135857461,0.7957015134529165,0.8109311378923769,0.39393095768374164,0.5701559020044543,0.02923162583518931,-0.024359688195991092
first_touch_tier_3,4515.0,0.18826135105204872,0.2201554886211515,0.23171178045515473,0.2892580287929125,0.4865010263275323,0.478657875948238,0.27220376522702106,0.6742153279785809,0.6520379071842936,0.24141749723145073,0.8107427264614014,0.8000682730923702,0.41993355481727573,0.5452934662236988,0.027464008859357698,-0.010343300110741981
