split,rule,level_name,target_mult,stop_mult,n,hit,stop,timeout,expectancy_atr
oos,S1,poc,0.3,0.5,4,0.25,0.75,0.0,-0.3
oos,S1,prior_close,0.3,0.5,6,0.5,0.5,0.0,-0.10000000000000002
oos,S1,prior_high,0.3,0.5,6,0.3333333333333333,0.6666666666666666,0.0,-0.2333333333333333
oos,S1,prior_low,0.3,0.5,6,0.5,0.5,0.0,-0.10000000000000002
oos,S1,vah,0.3,0.5,2,0.5,0.5,0.0,-0.1
oos,S1,val,0.3,0.5,5,0.0,1.0,0.0,-0.5
oos,S2,poc,0.3,0.5,7,0.5714285714285714,0.42857142857142855,0.0,-0.042857142857142864
oos,S2,prior_close,0.3,0.5,11,0.6363636363636364,0.36363636363636365,0.0,0.0090909090909091
oos,S2,prior_high,0.3,0.5,9,0.4444444444444444,0.5555555555555556,0.0,-0.14444444444444446
oos,S2,prior_low,0.3,0.5,5,0.2,0.8,0.0,-0.33999999999999997
oos,S2,vah,0.3,0.5,4,0.75,0.25,0.0,0.09999999999999998
oos,S2,val,0.3,0.5,4,0.5,0.5,0.0,-0.1
oos,S3,poc,0.3,0.5,23,0.6086956521739131,0.391304347826087,0.0,-0.013043478260869558
oos,S3,prior_close,0.3,0.5,32,0.46875,0.53125,0.0,-0.125
oos,S3,prior_high,0.3,0.5,26,0.6153846153846154,0.38461538461538464,0.0,-0.007692307692307699
oos,S3,prior_low,0.3,0.5,25,0.56,0.44,0.0,-0.05199999999999999
oos,S3,vah,0.3,0.5,20,0.5,0.5,0.0,-0.1
oos,S3,val,0.3,0.5,23,0.5217391304347826,0.4782608695652174,0.0,-0.08260869565217392
oos,S4,poc,0.3,0.5,30,0.3,0.7,0.0,-0.26
oos,S4,prior_close,0.3,0.5,31,0.3225806451612903,0.6774193548387096,0.0,-0.24193548387096775
oos,S4,prior_high,0.3,0.5,22,0.2727272727272727,0.7272727272727273,0.0,-0.2818181818181818
oos,S4,prior_low,0.3,0.5,33,0.5151515151515151,0.48484848484848486,0.0,-0.08787878787878789
oos,S4,vah,0.3,0.5,18,0.2222222222222222,0.7777777777777778,0.0,-0.3222222222222222
oos,S4,val,0.3,0.5,29,0.27586206896551724,0.7241379310344828,0.0,-0.2793103448275862
oos,S1,poc,0.3,0.75,4,0.25,0.75,0.0,-0.4875
oos,S1,prior_close,0.3,0.75,6,0.8333333333333334,0.16666666666666666,0.0,0.125
oos,S1,prior_high,0.3,0.75,6,0.6666666666666666,0.3333333333333333,0.0,-0.05000000000000001
oos,S1,prior_low,0.3,0.75,6,0.8333333333333334,0.16666666666666666,0.0,0.125
oos,S1,vah,0.3,0.75,2,0.5,0.5,0.0,-0.225
oos,S1,val,0.3,0.75,5,0.2,0.8,0.0,-0.54
oos,S2,poc,0.3,0.75,7,0.5714285714285714,0.42857142857142855,0.0,-0.15
oos,S2,prior_close,0.3,0.75,11,0.6363636363636364,0.36363636363636365,0.0,-0.0818181818181818
oos,S2,prior_high,0.3,0.75,9,0.5555555555555556,0.4444444444444444,0.0,-0.16666666666666666
oos,S2,prior_low,0.3,0.75,5,0.6,0.4,0.0,-0.12000000000000002
oos,S2,vah,0.3,0.75,4,0.75,0.25,0.0,0.03749999999999998
oos,S2,val,0.3,0.75,4,0.5,0.5,0.0,-0.225
oos,S3,poc,0.3,0.75,23,0.782608695652174,0.21739130434782608,0.0,0.07173913043478258
oos,S3,prior_close,0.3,0.75,32,0.625,0.375,0.0,-0.09375
oos,S3,prior_high,0.3,0.75,26,0.7692307692307693,0.23076923076923078,0.0,0.057692307692307696
oos,S3,prior_low,0.3,0.75,25,0.56,0.44,0.0,-0.162
oos,S3,vah,0.3,0.75,20,0.6,0.4,0.0,-0.12000000000000002
oos,S3,val,0.3,0.75,23,0.5652173913043478,0.43478260869565216,0.0,-0.1565217391304348
oos,S4,poc,0.3,0.75,30,0.43333333333333335,0.5666666666666667,0.0,-0.295
oos,S4,prior_close,0.3,0.75,31,0.4838709677419355,0.5161290322580645,0.0,-0.24193548387096775
oos,S4,prior_high,0.3,0.75,22,0.4090909090909091,0.5909090909090909,0.0,-0.3204545454545455
oos,S4,prior_low,0.3,0.75,33,0.7575757575757576,0.24242424242424243,0.0,0.045454545454545456
oos,S4,vah,0.3,0.75,18,0.3888888888888889,0.6111111111111112,0.0,-0.3416666666666667
oos,S4,val,0.3,0.75,29,0.5862068965517241,0.41379310344827586,0.0,-0.13448275862068967
oos,S1,poc,0.3,1.0,4,0.5,0.5,0.0,-0.35
oos,S1,prior_close,0.3,1.0,6,1.0,0.0,0.0,0.3
