split,target_mult,stop_mult,n,hit,stop,timeout,expectancy_atr
train,0.3,0.5,7811,0.5114581999743951,0.48854180002560493,0.0,-0.09083344002048394
train,0.3,0.75,7811,0.6412751248239662,0.3587248751760338,0.0,-0.07666111893483549
train,0.3,1.0,7811,0.7212904877736526,0.27870951222634743,0.0,-0.06232236589425169
train,0.3,1.5,7811,0.8102675713737038,0.18922033030341825,0.0005120983228779926,-0.04075022404301628
train,0.5,0.5,7811,0.45320701574702343,0.5467929842529766,0.0,-0.04679298425297657
train,0.5,0.75,7811,0.5686851875560107,0.4313148124439892,0.0,-0.03914351555498656
train,0.5,1.0,7811,0.6433235181154782,0.35667648188452183,0.0,-0.035014722826782745
train,0.5,1.5,7811,0.7371655357828704,0.26040199718345924,0.0024324670336704646,-0.02202022788375368
train,0.75,0.5,7811,0.3799769555754705,0.6197669952630905,0.0002560491614389963,-0.02490078094994239
train,0.75,0.75,7811,0.4830367430546665,0.516579183203175,0.00038407374215849446,-0.025156830111381385
train,0.75,1.0,7811,0.5561387786455,0.44232492638586607,0.0015362949686339778,-0.025220842401741134
train,0.75,1.5,7811,0.652285238765843,0.3377288439380361,0.009985917296120856,-0.017379336832671875
train,1.0,0.5,7811,0.32185379592881835,0.6773780565868647,0.0007681474843169889,-0.016835232364614004
train,1.0,0.75,7811,0.4182563052106004,0.5802073998207656,0.0015362949686339778,-0.016899244654973757
train,1.0,1.0,7811,0.4902061195749584,0.5051849955191396,0.004608884905901933,-0.014978875944181283
train,1.0,1.5,7811,0.5837920880809115,0.39482780693893227,0.02138010498015619,-0.008449622327486878
train,1.5,0.5,7811,0.24644731788503393,0.7491998463705032,0.004352835744462937,-0.004928946357700678
train,1.5,0.75,7811,0.32646268083472024,0.6630393035462809,0.010498015618998848,-0.007585456407630265
train,1.5,1.0,7811,0.39034694661374986,0.5860965305338625,0.023556522852387657,-0.0005761106132377416
train,1.5,1.5,7811,0.46844194085264373,0.46524132633465626,0.06631673281270004,0.0048009217769811804
