ticker,session_date,entry_open,prior_close,prior_poc,prior_val,prior_vah,gap_pct,target_px,stop_px,outcome,exit_px,exit_date,bars_held,underlying_pnl,underlying_pct,status,symbol,expiry,strike,entry_opt,exit_opt,opt_pnl,opt_pnl_pct
SPY,2024-01-03,470.43,472.6,472.63,471.43,472.93,-0.0045916208209903,472.63,468.26,stop,468.26,2024-01-04,1,-2.170000000000016,-0.0046128010543545605,no_bars,SPY240105C00470000,,,,,,
JPM,2024-01-04,170.64,171.34,171.78,171.08,171.83,-0.0040854441461422725,171.78,169.93999999999997,target,171.78,2024-01-05,1,1.1400000000000148,0.006680731364275755,no_bars,JPM240105C00171000,,,,,,
JPM,2024-01-10,170.0,170.65,170.83,170.28,170.93,-0.0038089657193085594,170.83,169.35,stop,169.35,2024-01-11,1,-0.6500000000000057,-0.0038235294117647395,no_bars,JPM240112C00170000,,,,,,
JPM,2024-01-16,164.87,169.06,169.97,168.93,172.53,-0.02478410031941321,169.97,160.68,target,169.97,2024-01-19,3,5.099999999999994,0.03093346272821007,no_entry_bar,JPM240119C00165000,,,,,,
SPY,2024-01-17,471.82,474.95,474.12,473.73,475.28,-0.006590167386040627,474.12,468.69,target,474.12,2024-01-18,1,2.3000000000000114,0.004874740367089169,no_entry_bar,SPY240119C00472000,,,,,,
SPY,2024-01-31,488.62,490.86,490.93,490.62,491.28,-0.004563419304893471,490.93,486.38,stop,486.38,2024-02-01,1,-2.240000000000009,-0.00458433956858092,ok,SPY240202C00489000,2024-02-02,489.0,2.69,0.5,-219.0,-0.8141263940520446
JPM,2024-02-01,173.64,174.34,176.33,175.18,177.08,-0.0040151428243662786,176.33,172.93999999999997,stop,172.93999999999997,2024-02-05,2,-0.700000000000017,-0.004031329186823411,ok,JPM240209C00175000,2024-02-09,175.0,1.17,0.97,-19.999999999999996,-0.17094017094017092
JPM,2024-02-05,173.86,174.72,174.97,174.38,175.53,-0.004922161172161088,174.97,173.00000000000003,target,174.97,2024-02-06,1,1.1099999999999852,0.0063844472564131205,ok,JPM240209C00175000,2024-02-09,175.0,1.05,1.3,25.0,0.23809523809523808
SPY,2024-02-13,494.53,500.94,501.03,500.48,502.08,-0.012795943625983202,501.03,488.11999999999995,target,501.03,2024-02-15,2,6.5,0.013143793096475441,ok,SPY240216C00495000,2024-02-16,495.0,2.62,4.75,213.0,0.8129770992366412
SPY,2024-02-20,497.72,499.49,501.88,500.23,502.38,-0.0035436144867764755,501.88,495.95000000000005,stop,495.95000000000005,2024-02-21,1,-1.7699999999999818,-0.003556216346540187,ok,SPY240223C00498000,2024-02-23,498.0,2.9,1.63,-127.0,-0.43793103448275866
