ticker,session_date,entry_rule,exit_rule,status,entry_idx,exit_idx,entry_price,exit_price,entry_ts,exit_ts,bars_held,underlying_pnl,underlying_pct,hit_daily_target,hit_daily_stop
SPY,2024-01-31,A,X,ok,0.0,131.0,488.725,486.4544,2024-01-31 09:30:00-05:00,2024-01-31 11:41:00-05:00,131.0,-2.2706000000000017,-0.004645966545603359,False,True
SPY,2024-01-31,A,Y,ok,0.0,2.0,488.725,488.59,2024-01-31 09:30:00-05:00,2024-01-31 09:32:00-05:00,2.0,-0.13500000000004775,-0.00027622896311841575,False,False
SPY,2024-01-31,A,Z,ok,0.0,43.0,488.725,487.4672,2024-01-31 09:30:00-05:00,2024-01-31 10:13:00-05:00,43.0,-1.2578000000000316,-0.0025736354800757716,False,False
SPY,2024-01-31,B,X,ok,0.0,131.0,488.725,486.4544,2024-01-31 09:30:00-05:00,2024-01-31 11:41:00-05:00,131.0,-2.2706000000000017,-0.004645966545603359,False,True
SPY,2024-01-31,B,Y,ok,0.0,2.0,488.725,488.59,2024-01-31 09:30:00-05:00,2024-01-31 09:32:00-05:00,2.0,-0.13500000000004775,-0.00027622896311841575,False,False
SPY,2024-01-31,B,Z,ok,0.0,43.0,488.725,487.4672,2024-01-31 09:30:00-05:00,2024-01-31 10:13:00-05:00,43.0,-1.2578000000000316,-0.0025736354800757716,False,False
SPY,2024-01-31,C,X,ok,28.0,131.0,487.71,486.4544,2024-01-31 09:58:00-05:00,2024-01-31 11:41:00-05:00,103.0,-1.2555999999999585,-0.002574480736503165,False,True
SPY,2024-01-31,C,Y,ok,28.0,208.0,487.71,487.325,2024-01-31 09:58:00-05:00,2024-01-31 12:58:00-05:00,180.0,-0.3849999999999909,-0.0007894035389883146,False,True
SPY,2024-01-31,C,Z,ok,28.0,43.0,487.71,487.4672,2024-01-31 09:58:00-05:00,2024-01-31 10:13:00-05:00,15.0,-0.24279999999998836,-0.0004978368292632678,False,False
JPM,2024-02-01,A,X,ok,0.0,30.0,174.43,172.99,2024-02-01 09:30:00-05:00,2024-02-01 10:00:00-05:00,30.0,-1.4399999999999977,-0.008255460643237962,False,True
JPM,2024-02-01,A,Y,ok,0.0,1.0,174.43,174.36,2024-02-01 09:30:00-05:00,2024-02-01 09:31:00-05:00,1.0,-0.06999999999999318,-0.0004013071146018069,False,False
JPM,2024-02-01,A,Z,ok,0.0,17.0,174.43,174.1899,2024-02-01 09:30:00-05:00,2024-02-01 09:47:00-05:00,17.0,-0.24010000000001241,-0.0013764834030844028,False,False
JPM,2024-02-01,B,X,ok,0.0,30.0,174.43,172.99,2024-02-01 09:30:00-05:00,2024-02-01 10:00:00-05:00,30.0,-1.4399999999999977,-0.008255460643237962,False,True
JPM,2024-02-01,B,Y,ok,0.0,1.0,174.43,174.36,2024-02-01 09:30:00-05:00,2024-02-01 09:31:00-05:00,1.0,-0.06999999999999318,-0.0004013071146018069,False,False
JPM,2024-02-01,B,Z,ok,0.0,17.0,174.43,174.1899,2024-02-01 09:30:00-05:00,2024-02-01 09:47:00-05:00,17.0,-0.24010000000001241,-0.0013764834030844028,False,False
JPM,2024-02-01,C,X,ok,25.0,30.0,173.64,172.99,2024-02-01 09:55:00-05:00,2024-02-01 10:00:00-05:00,5.0,-0.6499999999999773,-0.003743377102050088,False,True
JPM,2024-02-01,C,Y,ok,25.0,151.0,173.64,172.986,2024-02-01 09:55:00-05:00,2024-02-01 12:01:00-05:00,126.0,-0.6539999999999964,-0.0037664132688320457,False,True
JPM,2024-02-01,C,Z,ok,25.0,45.0,173.64,173.15,2024-02-01 09:55:00-05:00,2024-02-01 10:15:00-05:00,20.0,-0.4899999999999807,-0.002821930430776208,False,True
JPM,2024-02-05,A,X,ok,0.0,55.0,173.68,172.935,2024-02-05 09:30:00-05:00,2024-02-05 10:25:00-05:00,55.0,-0.7450000000000045,-0.004289497927222504,False,True
JPM,2024-02-05,A,Y,ok,0.0,4.0,173.68,173.85,2024-02-05 09:30:00-05:00,2024-02-05 09:34:00-05:00,4.0,0.1699999999999875,0.0009788116075540505,False,False
JPM,2024-02-05,A,Z,ok,0.0,44.0,173.68,173.27,2024-02-05 09:30:00-05:00,2024-02-05 10:14:00-05:00,44.0,-0.4099999999999966,-0.0023606632888069816,False,False
JPM,2024-02-05,B,—,skipped_entry,,,,,,,,,,,
