median,mean,p5,p25,p75,p95,p_double,p_5x,p_10x,p_halve,p_quarter,median_maxdd,p95_maxdd,log_return_per_trade,config,sizing
2166.5,2162.055,1423.0,1860.0,2463.0,2891.0,0.6443,0.0,0.0,0.0,0.0,0.14273449210346595,0.30913975554991197,0.011334918166073025,0DTE_ATM,fixed_1ctr
2166.5,2162.1042,1423.0,1860.0,2463.0,2891.0,0.6443,0.0,0.0,0.0,0.0,0.14273449210346595,0.30913975554991197,0.011335148354106164,0DTE_ATM,5%_min1
2170.0,2179.2656,1423.0,1867.0,2478.25,2969.0,0.6503,0.0,0.0,0.0,0.0,0.14367816091954022,0.30906398708269484,0.01143240834732863,0DTE_ATM,10%_min1
2192.0,2290.8422,1402.95,1842.0,2631.0,3527.0,0.6388,0.0028,0.0,0.0,0.0,0.16432912116157325,0.3152735017317985,0.011959378982568415,0DTE_ATM,15%_min1
2378.5,2658.1137,1292.0,1825.0,3192.0,4950.149999999998,0.6646,0.0481,0.0004,0.0,0.0,0.2081458663578755,0.3656221274388825,0.013514506586859192,0DTE_ATM,20%_min1
2786.0,3370.1553,1226.95,1927.0,4176.0,7508.0999999999985,0.7272,0.1661,0.0148,0.0,0.0,0.2640346455857385,0.44118930530411504,0.015987553082454028,0DTE_ATM,25%_min1
3816.0,5403.023,1103.95,2243.0,6718.0,15048.399999999994,0.7953,0.3673,0.1255,0.001,0.0001,0.35314055944691664,0.5614267425988453,0.020702436082446946,0DTE_ATM,33%_min1
6930.0,15491.8866,882.0,2926.75,16779.25,57706.049999999945,0.8371,0.6,0.3858,0.0104,0.003,0.5257134430006849,0.7574918232906958,0.029511191659463195,0DTE_ATM,50%_min1
2333.0,2329.1499,1706.0,2078.75,2581.0,2940.0,0.8129,0.0,0.0,0.0001,0.0,0.10169029990856271,0.2064839957653477,0.012605185928798097,5DTE_ATM,fixed_1ctr
2333.0,2329.1499,1706.0,2078.75,2581.0,2940.0,0.8129,0.0,0.0,0.0001,0.0,0.10169029990856271,0.2064839957653477,0.012605185928798097,5DTE_ATM,5%_min1
2333.0,2329.1499,1706.0,2078.75,2581.0,2940.0,0.8129,0.0,0.0,0.0001,0.0,0.10169029990856271,0.2064839957653477,0.012605185928798097,5DTE_ATM,10%_min1
2333.0,2329.1499,1706.0,2078.75,2581.0,2940.0,0.8129,0.0,0.0,0.0001,0.0,0.10169029990856271,0.2064839957653477,0.012605185928798097,5DTE_ATM,15%_min1
2333.0,2329.2129,1706.0,2078.75,2581.0,2940.0,0.8129,0.0,0.0,0.0001,0.0,0.10169029990856271,0.2064839957653477,0.012605462821307614,5DTE_ATM,20%_min1
2333.0,2332.9958,1706.0,2078.75,2585.0,2959.0499999999993,0.8129,0.0,0.0,0.0001,0.0,0.10167114871211987,0.2064839957653477,0.012624924437322887,5DTE_ATM,25%_min1
2354.0,2368.9016,1706.0,2087.75,2633.0,3075.0499999999993,0.8157,0.0,0.0,0.0001,0.0,0.10232109185597563,0.2064839957653477,0.012825190328990037,5DTE_ATM,33%_min1
2602.5,2728.6509,1705.0000000000005,2166.0,3156.0,4180.0,0.8398,0.012,0.0,0.0001,0.0,0.12062596609757367,0.21891148398700155,0.014631860647585362,5DTE_ATM,50%_min1
