minute,mean_vol,median_vol,mean_bp,mean_delta,n,time
570,702776.3193239499,636816.0,0.49208215081786333,-2772.3477455665766,819,09:30
571,330715.0838723492,295157.0,0.5065530999470798,6486.056620543582,819,09:31
572,280922.75548569596,249805.0,0.5165457845555226,10612.051407819006,819,09:32
573,257059.7427160012,233494.0,0.502740249714134,3687.359499116414,819,09:33
574,248063.25716036875,219663.0,0.5087222378399329,2612.244201339435,819,09:34
575,270276.61848628207,234171.0,0.4817273976537387,-11284.614734324132,819,09:35
576,237759.42039729183,206742.0,0.5039326764264217,-5870.372084962487,819,09:36
577,222650.89432743957,190229.0,0.5063114866040441,5451.069398249228,819,09:37
578,220464.19116946033,185330.0,0.5104984469988298,10148.245800485915,819,09:38
579,204579.33120705982,176313.0,0.511299716375054,508.65199232753054,819,09:39
580,229952.79533324542,199935.0,0.49562895686008535,-6889.039661998306,819,09:40
581,206648.724101884,178178.0,0.5091417288601219,-118.65644909748553,819,09:41
582,210795.88200273257,182268.0,0.5092218318438254,3089.0444812897417,819,09:42
583,207665.16696092676,178163.0,0.490460333697438,-5053.171745165595,819,09:43
584,186460.62938901343,156921.0,0.5247265672704718,7320.139318055915,819,09:44
585,236756.549967243,207768.0,0.5161792734827543,6006.4846667241745,819,09:45
586,208980.86356194504,176608.0,0.509771303548685,3345.8495916736906,819,09:46
587,200883.14080752135,173965.0,0.5218623693737485,12057.763478887327,819,09:47
588,196412.1194739304,168581.0,0.5163651787720027,8443.913277105292,819,09:48
589,190639.03225494872,161643.0,0.4863235304614155,-10994.568162457428,819,09:49
590,211885.38539089134,179056.0,0.4906046507327799,-4216.321117942509,819,09:50
591,193618.6903673297,166674.0,0.5216056507909619,5033.326382178091,819,09:51
592,195142.37119961737,168336.5,0.5199727724584088,3584.07856069628,818,09:52
593,184719.80273321882,156671.5,0.5172753093318813,6684.207814893978,818,09:53
594,166851.03912929218,145459.5,0.5258534795239919,3421.159660197952,818,09:54
595,201152.38705772982,173871.0,0.5104900614665219,1158.1219530558417,818,09:55
596,169665.3038923553,144674.0,0.5120841061999184,4435.629640320049,819,09:56
597,166428.6979571441,144013.0,0.5012000595118079,686.3157441738799,819,09:57
598,159210.48608580098,132596.0,0.528697789133501,9761.446104179808,819,09:58
599,163008.56037683514,137558.0,0.5776622669082363,19112.649640730808,819,09:59
