window,level,vol_filter,split,target_mult,stop_mult,n,hit,stop_rate,exp_atr
10_00_10_30,vah,V0,train,0.3,0.5,183,0.46994535519125685,0.5300546448087432,-0.12404371584699453
10_00_10_30,vah,V0,oos,0.3,0.5,14,0.5714285714285714,0.42857142857142855,-0.042857142857142864
10_00_10_30,vah,V0,train,0.3,0.75,183,0.6174863387978142,0.3825136612021858,-0.1016393442622951
10_00_10_30,vah,V0,oos,0.3,0.75,14,0.5714285714285714,0.42857142857142855,-0.15
10_00_10_30,vah,V0,train,0.3,1.0,183,0.7049180327868853,0.29508196721311475,-0.08360655737704921
10_00_10_30,vah,V0,oos,0.3,1.0,14,0.7142857142857143,0.2857142857142857,-0.07142857142857142
10_00_10_30,vah,V0,train,0.3,1.5,183,0.7704918032786885,0.22950819672131148,-0.11311475409836066
10_00_10_30,vah,V0,oos,0.3,1.5,14,0.7857142857142857,0.21428571428571427,-0.08571428571428573
10_00_10_30,vah,V0,train,0.5,0.5,183,0.41530054644808745,0.5846994535519126,-0.08469945355191257
10_00_10_30,vah,V0,oos,0.5,0.5,14,0.5714285714285714,0.42857142857142855,0.07142857142857142
10_00_10_30,vah,V0,train,0.5,0.75,183,0.5573770491803278,0.4426229508196721,-0.05327868852459016
10_00_10_30,vah,V0,oos,0.5,0.75,14,0.5714285714285714,0.42857142857142855,-0.03571428571428571
10_00_10_30,vah,V0,train,0.5,1.0,183,0.6338797814207651,0.36065573770491804,-0.04371584699453552
10_00_10_30,vah,V0,oos,0.5,1.0,14,0.6428571428571429,0.35714285714285715,-0.03571428571428571
10_00_10_30,vah,V0,train,0.5,1.5,183,0.6830601092896175,0.3114754098360656,-0.12568306010928962
10_00_10_30,vah,V0,oos,0.5,1.5,14,0.7142857142857143,0.2857142857142857,-0.07142857142857142
10_00_10_30,vah,V0,train,0.75,0.5,183,0.3442622950819672,0.6557377049180327,-0.06967213114754098
10_00_10_30,vah,V0,oos,0.75,0.5,14,0.5,0.5,0.125
10_00_10_30,vah,V0,train,0.75,0.75,183,0.4918032786885246,0.5081967213114754,-0.012295081967213115
10_00_10_30,vah,V0,oos,0.75,0.75,14,0.5,0.5,0.0
10_00_10_30,vah,V0,train,0.75,1.0,183,0.5573770491803278,0.43169398907103823,-0.01366120218579235
10_00_10_30,vah,V0,oos,0.75,1.0,14,0.5,0.5,-0.125
10_00_10_30,vah,V0,train,0.75,1.5,183,0.6065573770491803,0.3770491803278688,-0.11065573770491803
10_00_10_30,vah,V0,oos,0.75,1.5,14,0.6428571428571429,0.35714285714285715,-0.05357142857142857
10_00_10_30,vah,V0,train,1.0,0.5,183,0.30601092896174864,0.6939890710382514,-0.040983606557377046
10_00_10_30,vah,V0,oos,1.0,0.5,14,0.5,0.5,0.25
10_00_10_30,vah,V0,train,1.0,0.75,183,0.43169398907103823,0.5683060109289617,0.00546448087431694
10_00_10_30,vah,V0,oos,1.0,0.75,14,0.5,0.5,0.125
10_00_10_30,vah,V0,train,1.0,1.0,183,0.5081967213114754,0.4808743169398907,0.0273224043715847
10_00_10_30,vah,V0,oos,1.0,1.0,14,0.5,0.5,0.0
10_00_10_30,vah,V0,train,1.0,1.5,183,0.5519125683060109,0.43169398907103823,-0.09562841530054644
10_00_10_30,vah,V0,oos,1.0,1.5,14,0.6428571428571429,0.35714285714285715,0.10714285714285714
10_00_10_30,vah,V0,train,1.5,0.5,183,0.2459016393442623,0.7540983606557377,-0.00819672131147541
