session_date,year,direction,poc,entry_price,entry_ts_et,exit_ts_et,atr,outcome,symbol,status,entry_opt,exit_opt,pnl_contract,pnl_pct
2024-01-04,2024,short,469.43,469.543,2024-01-04 10:01:00-05:00,2024-01-04 10:09:00-05:00,0.2797749999999922,stop,SPY240104P00470000,no_option_bars,,,,
2024-01-05,2024,long,467.23,467.39,2024-01-05 09:30:00-05:00,,,no_atr,SPY240105C00467000,no_option_bars,,,,
2024-01-11,2024,long,475.12,474.99,2024-01-11 10:04:00-05:00,2024-01-11 10:06:00-05:00,0.35266499999999323,stop,SPY240111C00475000,no_option_bars,,,,
2024-01-12,2024,long,475.88,475.99,2024-01-12 10:19:00-05:00,2024-01-12 10:23:00-05:00,0.34696500000000013,target,SPY240112C00476000,no_option_bars,,,,
2024-01-23,2024,long,483.62,483.67,2024-01-23 09:32:00-05:00,,,no_atr,SPY240123C00484000,no_exit_bar,0.78,,,
2024-01-26,2024,long,487.28,487.3,2024-01-26 09:52:00-05:00,2024-01-26 09:59:00-05:00,0.247535000000002,target,SPY240126C00487000,ok,1.1,1.31,20.999999999999996,0.19090909090909086
2024-01-29,2024,long,487.38,487.45,2024-01-29 10:25:00-05:00,2024-01-29 10:30:00-05:00,0.1705050000000085,target,SPY240129C00487000,ok,1.06,1.25,18.999999999999993,0.17924528301886786
2024-02-06,2024,long,493.23,493.48,2024-02-06 09:32:00-05:00,,,no_atr,SPY240206C00493000,no_exit_bar,1.21,,,
2024-02-08,2024,long,497.88,497.8101,2024-02-08 09:30:00-05:00,,,no_atr,SPY240208C00498000,no_exit_bar,0.91,,,
2024-02-16,2024,short,501.73,501.53,2024-02-16 09:30:00-05:00,,,no_atr,SPY240216P00502000,no_exit_bar,1.47,,,
2024-02-26,2024,long,508.18,508.3601,2024-02-26 09:30:00-05:00,,,no_atr,SPY240226C00508000,no_entry_bar,,,,
2024-02-27,2024,long,506.68,506.59,2024-02-27 09:30:00-05:00,,,no_atr,SPY240227C00507000,no_exit_bar,0.75,,,
2024-02-28,2024,short,505.88,505.83,2024-02-28 10:10:00-05:00,2024-02-28 10:21:00-05:00,0.18516499999999497,target,SPY240228P00506000,ok,0.91,0.91,0.0,0.0
2024-03-12,2024,long,511.12,511.09,2024-03-12 09:45:00-04:00,,,no_atr,SPY240312C00511000,no_exit_bar,1.68,,,
2024-03-13,2024,long,516.77,516.76,2024-03-13 09:31:00-04:00,,,no_atr,SPY240313C00517000,no_exit_bar,0.83,,,
2024-03-14,2024,long,516.48,516.43,2024-03-14 09:33:00-04:00,,,no_atr,SPY240314C00516000,no_exit_bar,1.34,,,
2024-03-27,2024,long,520.93,521.03,2024-03-27 09:54:00-04:00,2024-03-27 09:57:00-04:00,0.17700000000001523,stop,SPY240327C00521000,ok,0.79,0.75,-4.0000000000000036,-0.050632911392405104
2024-04-01,2024,long,523.48,523.61,2024-04-01 09:31:00-04:00,,,no_atr,SPY240401C00524000,no_exit_bar,0.61,,,
2024-04-03,2024,short,518.73,519.38,2024-04-03 10:00:00-04:00,2024-04-03 10:01:00-04:00,0.2192600000000084,stop,SPY240403P00519000,ok,0.77,0.62,-15.000000000000002,-0.19480519480519484
2024-04-08,2024,long,518.77,518.635,2024-04-08 09:35:00-04:00,,,no_atr,SPY240408C00519000,no_exit_bar,0.92,,,
2024-04-09,2024,long,518.73,518.9306,2024-04-09 09:52:00-04:00,2024-04-09 10:07:00-04:00,0.27972500000000766,timeout,SPY240409C00519000,ok,0.99,0.94,-5.000000000000004,-0.05050505050505055
2024-04-11,2024,long,513.98,514.06,2024-04-11 10:00:00-04:00,2024-04-11 10:05:00-04:00,0.38266499999999726,stop,SPY240411C00514000,ok,1.55,1.32,-23.0,-0.14838709677419354
2024-04-16,2024,long,504.93,504.84,2024-04-16 09:30:00-04:00,,,no_atr,SPY240416C00505000,no_exit_bar,1.81,,,
2024-04-17,2024,long,504.58,504.48,2024-04-17 10:03:00-04:00,2024-04-17 10:12:00-04:00,0.3359099999999984,stop,SPY240417C00504000,ok,1.84,1.53,-31.000000000000007,-0.16847826086956524
2024-04-18,2024,long,501.12,501.095,2024-04-18 09:34:00-04:00,,,no_atr,SPY240418C00501000,no_exit_bar,1.63,,,
2024-04-19,2024,short,499.48,498.935,2024-04-19 09:30:00-04:00,,,no_atr,SPY240419P00499000,no_exit_bar,1.84,,,
2024-05-02,2024,long,500.83,500.96,2024-05-02 10:01:00-04:00,2024-05-02 10:05:00-04:00,0.3105300000000085,target,SPY240502C00501000,ok,1.73,1.81,8.000000000000007,0.04624277456647403
2024-05-09,2024,long,516.88,516.83,2024-05-09 09:41:00-04:00,,,no_atr,SPY240509C00517000,no_exit_bar,0.9,,,
2024-05-23,2024,long,531.08,531.52,2024-05-23 09:45:00-04:00,,,no_atr,SPY240523C00532000,no_exit_bar,0.97,,,
2024-05-28,2024,long,529.48,529.44,2024-05-28 09:46:00-04:00,,,no_atr,SPY240528C00529000,no_exit_bar,1.15,,,
2024-05-31,2024,short,523.88,523.72,2024-05-31 09:30:00-04:00,,,no_atr,SPY240531P00524000,no_exit_bar,1.42,,,
2024-06-04,2024,long,526.23,526.35,2024-06-04 09:31:00-04:00,,,no_atr,SPY240604C00526000,no_exit_bar,1.45,,,
2024-06-07,2024,short,534.27,534.22,2024-06-07 09:51:00-04:00,2024-06-07 09:55:00-04:00,0.29725500000000127,target,SPY240607P00534000,ok,1.13,1.29,16.000000000000014,0.14159292035398244
2024-06-13,2024,long,542.73,542.82,2024-06-13 09:30:00-04:00,,,no_atr,SPY240613C00543000,no_exit_bar,1.02,,,
2024-06-17,2024,long,542.02,541.91,2024-06-17 09:30:00-04:00,,,no_atr,SPY240617C00542000,no_exit_bar,0.94,,,
2024-06-24,2024,short,544.52,544.2481,2024-06-24 09:31:00-04:00,,,no_atr,SPY240624P00544000,no_exit_bar,0.96,,,
2024-06-26,2024,short,544.27,544.23,2024-06-26 09:51:00-04:00,2024-06-26 09:59:00-04:00,0.23089500000000385,target,SPY240626P00544000,ok,0.88,0.91,3.0000000000000027,0.03409090909090912
2024-07-01,2024,long,544.98,545.08,2024-07-01 09:44:00-04:00,,,no_atr,SPY240701C00545000,no_exit_bar,1.17,,,
2024-07-02,2024,short,545.02,544.8399,2024-07-02 09:38:00-04:00,,,no_atr,SPY240702P00545000,no_exit_bar,1.16,,,
2024-07-05,2024,long,551.08,551.17,2024-07-05 10:11:00-04:00,2024-07-05 10:13:00-04:00,0.26381999999999267,target,SPY240705C00551000,ok,1.12,1.43,30.999999999999982,0.27678571428571414
