session_date,symbol,status,sim_outcome,bars_held,entry_ts,exit_ts,entry_qqq,exit_qqq,strike,entry_opt,exit_opt,pnl_contract,pnl_pct
2023-01-05,QQQ230105P00263000,no_option_bars,,,,,,,,,,,
2023-01-06,QQQ230106P00261000,no_option_bars,,,,,,,,,,,
2023-01-30,QQQ230130P00292000,no_option_bars,,,,,,,,,,,
2023-02-16,QQQ230216P00304000,no_option_bars,,,,,,,,,,,
2023-02-22,QQQ230222P00294000,no_option_bars,,,,,,,,,,,
2023-03-01,QQQ230301P00293000,no_option_bars,,,,,,,,,,,
2023-03-08,QQQ230308P00296000,no_option_bars,,,,,,,,,,,
2023-03-10,QQQ230310P00292000,no_option_bars,,,,,,,,,,,
2023-03-15,QQQ230315P00293000,no_option_bars,,,,,,,,,,,
2023-03-20,QQQ230320P00303000,no_option_bars,,,,,,,,,,,
2023-03-24,QQQ230324P00307000,no_option_bars,,,,,,,,,,,
2023-03-28,QQQ230328P00308000,no_option_bars,,,,,,,,,,,
2023-04-05,QQQ230405P00318000,no_option_bars,,,,,,,,,,,
2023-04-06,QQQ230406P00314000,no_option_bars,,,,,,,,,,,
2023-04-12,QQQ230412P00315000,no_option_bars,,,,,,,,,,,
2023-04-21,QQQ230421P00315000,no_option_bars,,,,,,,,,,,
2023-04-25,QQQ230425P00314000,no_option_bars,,,,,,,,,,,
2023-05-02,QQQ230502P00321000,no_option_bars,,,,,,,,,,,
2023-06-06,QQQ230606P00354000,no_option_bars,,,,,,,,,,,
2023-06-07,QQQ230607P00353000,no_option_bars,,,,,,,,,,,
2023-06-21,QQQ230621P00364000,no_option_bars,,,,,,,,,,,
2023-07-24,QQQ230724P00375000,no_option_bars,,,,,,,,,,,
2023-07-26,QQQ230726P00377000,no_option_bars,,,,,,,,,,,
2023-08-08,QQQ230808P00371000,no_option_bars,,,,,,,,,,,
2023-08-09,QQQ230809P00369000,no_option_bars,,,,,,,,,,,
2023-08-14,QQQ230814P00365000,no_option_bars,,,,,,,,,,,
2023-08-16,QQQ230816P00366000,no_option_bars,,,,,,,,,,,
2023-08-17,QQQ230817P00363000,no_option_bars,,,,,,,,,,,
2023-08-25,QQQ230825P00361000,no_option_bars,,,,,,,,,,,
2023-09-01,QQQ230901P00377000,no_option_bars,,,,,,,,,,,
2023-09-05,QQQ230905P00376000,no_option_bars,,,,,,,,,,,
2023-09-06,QQQ230906P00376000,no_option_bars,,,,,,,,,,,
2023-09-12,QQQ230912P00374000,no_option_bars,,,,,,,,,,,
2023-09-13,QQQ230913P00373000,no_option_bars,,,,,,,,,,,
2023-09-15,QQQ230915P00374000,no_option_bars,,,,,,,,,,,
2023-09-19,QQQ230919P00369000,no_option_bars,,,,,,,,,,,
2023-09-26,QQQ230926P00356000,no_option_bars,,,,,,,,,,,
2023-10-03,QQQ231003P00358000,no_option_bars,,,,,,,,,,,
2023-10-05,QQQ231005P00355000,no_option_bars,,,,,,,,,,,
2023-10-06,QQQ231006P00355000,no_option_bars,,,,,,,,,,,
2023-10-13,QQQ231013P00368000,no_option_bars,,,,,,,,,,,
2023-10-20,QQQ231020P00359000,no_option_bars,,,,,,,,,,,
2023-10-25,QQQ231025P00356000,no_option_bars,,,,,,,,,,,
2023-11-16,QQQ231116P00385000,no_option_bars,,,,,,,,,,,
2023-11-24,QQQ231124P00389000,no_option_bars,,,,,,,,,,,
2023-11-27,QQQ231127P00388000,no_option_bars,,,,,,,,,,,
2023-11-28,QQQ231128P00388000,no_option_bars,,,,,,,,,,,
2023-11-30,QQQ231130P00389000,no_option_bars,,,,,,,,,,,
2023-12-04,QQQ231204P00386000,no_option_bars,,,,,,,,,,,
2023-12-29,QQQ231229P00411000,no_option_bars,,,,,,,,,,,
2024-01-11,QQQ240111P00405000,no_option_bars,,,,,,,,,,,
2024-01-16,QQQ240116P00409000,no_option_bars,,,,,,,,,,,
2024-01-23,QQQ240123P00421000,ok,timeout,15.0,2024-01-23 09:32:00-05:00,2024-01-23 09:47:00-05:00,421.04,421.67,421.0,1.19,1.06,-12.99999999999999,-0.10924369747899151
2024-01-26,QQQ240126P00425000,ok,timeout,15.0,2024-01-26 09:30:00-05:00,2024-01-26 09:45:00-05:00,424.57,424.16,425.0,1.73,1.78,5.000000000000004,0.02890173410404627
2024-02-16,QQQ240216P00431000,ok,target,6.0,2024-02-16 09:54:00-05:00,2024-02-16 10:00:00-05:00,431.23,430.71,431.0,1.35,1.62,27.0,0.2
2024-02-21,QQQ240221P00424000,ok,timeout,15.0,2024-02-21 09:47:00-05:00,2024-02-21 10:02:00-05:00,423.62,424.48,424.0,2.43,1.94,-49.00000000000002,-0.2016460905349795
2024-02-27,QQQ240227P00436000,ok,timeout,15.0,2024-02-27 09:40:00-05:00,2024-02-27 09:55:00-05:00,436.26,436.57,436.0,1.03,0.83,-20.000000000000007,-0.19417475728155345
2024-02-28,QQQ240228P00435000,ok,timeout,15.0,2024-02-28 09:33:00-05:00,2024-02-28 09:48:00-05:00,434.98,435.21,435.0,1.15,0.95,-19.999999999999996,-0.17391304347826084
2024-03-14,QQQ240314P00439000,ok,target,5.0,2024-03-14 09:49:00-04:00,2024-03-14 09:54:00-04:00,439.07,438.06,439.0,1.43,2.01,57.999999999999986,0.4055944055944055
